category,price,color,brand,brand_group,base_color,has_out_of_stock,nb_sizes_total,nb_sizes_available,nb_sizes_out_of_stock,fully_out_of_stock,price_segment
outerwear,65.0,blue,ASOS DESIGN,ASOS DESIGN,blue,False,8,8,0,False,£50-100
outerwear,,black,Stradivarius,Stradivarius,black,True,5,3,2,False,>£100
outerwear,,black,Stradivarius,Stradivarius,black,True,5,3,2,False,>£100
outerwear,,black,Stradivarius,Stradivarius,black,True,5,3,2,False,>£100
outerwear,54.99,green,New Look,New Look,green,False,8,8,0,False,£50-100
outerwear,54.99,green,New Look,New Look,green,False,8,8,0,False,£50-100
outerwear,54.99,green,New Look,New Look,green,False,8,8,0,False,£50-100
outerwear,54.99,green,New Look,New Look,green,False,8,8,0,False,£50-100
outerwear,48.0,oatmeal,ASOS DESIGN,ASOS DESIGN,other,False,8,8,0,False,£20-50
outerwear,48.0,oatmeal,ASOS DESIGN,ASOS DESIGN,other,False,8,8,0,False,£20-50
outerwear,48.0,oatmeal,ASOS DESIGN,ASOS DESIGN,other,False,8,8,0,False,£20-50
outerwear,48.0,oatmeal,ASOS DESIGN,ASOS DESIGN,other,False,8,8,0,False,£20-50
outerwear,,lilac,Dickies,Dickies,purple,True,5,2,3,False,>£100
outerwear,,lilac,Dickies,Dickies,purple,True,5,2,3,False,>£100
outerwear,,lilac,Dickies,Dickies,purple,True,5,2,3,False,>£100
outerwear,,lilac,Dickies,Dickies,purple,True,5,2,3,False,>£100
outerwear,35.99,black,Bershka,Bershka,black,False,4,4,0,False,£20-50
outerwear,35.99,black,Bershka,Bershka,black,False,4,4,0,False,£20-50
outerwear,35.99,black,Bershka,Bershka,black,False,4,4,0,False,£20-50
outerwear,65.99,cream,COLLUSION,COLLUSION,white,False,8,8,0,False,£50-100
outerwear,65.99,cream,COLLUSION,COLLUSION,white,False,8,8,0,False,£50-100
outerwear,65.99,cream,COLLUSION,COLLUSION,white,False,8,8,0,False,£50-100
outerwear,65.99,cream,COLLUSION,COLLUSION,white,False,8,8,0,False,£50-100
outerwear,70.0,black,Topshop,Topshop,black,True,8,5,3,False,£50-100
outerwear,70.0,black,Topshop,Topshop,black,True,8,5,3,False,£50-100
outerwear,70.0,black,Topshop,Topshop,black,True,8,5,3,False,£50-100
outerwear,70.0,black,Topshop,Topshop,black,True,8,5,3,False,£50-100
outerwear,95.0,khaki,Aria Cove,Aria,green,False,6,6,0,False,£50-100
outerwear,95.0,khaki,Aria Cove,Aria,green,False,6,6,0,False,£50-100
outerwear,95.0,khaki,Aria Cove,Aria,green,False,6,6,0,False,£50-100
outerwear,95.0,khaki,Aria Cove,Aria,green,False,6,6,0,False,£50-100
outerwear,,chalk,Columbia,Columbia,other,True,5,4,1,False,>£100
outerwear,,chalk,Columbia,Columbia,other,True,5,4,1,False,>£100
outerwear,,chalk,Columbia,Columbia,other,True,5,4,1,False,>£100
outerwear,,chalk,Columbia,Columbia,other,True,5,4,1,False,>£100
outerwear,,blue,ASOS DESIGN,ASOS DESIGN,blue,True,8,7,1,False,>£100
outerwear,,blue,ASOS DESIGN,ASOS DESIGN,blue,True,8,7,1,False,>£100
outerwear,,blue,ASOS DESIGN,ASOS DESIGN,blue,True,8,7,1,False,>£100
outerwear,,coffee,Pimkie,Pimkie,brown,False,5,5,0,False,>£100
outerwear,,coffee,Pimkie,Pimkie,brown,False,5,5,0,False,>£100
outerwear,,coffee,Pimkie,Pimkie,brown,False,5,5,0,False,>£100
